epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8468.98,1.20081,1.08867,1.74906,0.80096,0.7571,0.83408,0.52142,1.34114,1.08089,1.7911,0.000189827,0.000189827,0.000189827
81,8573.01,1.18816,1.06876,1.73661,0.79656,0.76185,0.83003,0.51746,1.35661,1.07349,1.79634,0.000174262,0.000174262,0.000174262
82,8677.59,1.19763,1.07117,1.74279,0.79794,0.75488,0.83129,0.52319,1.33947,1.05201,1.78262,0.000159357,0.000159357,0.000159357
83,8781.86,1.18478,1.06749,1.741,0.82248,0.73962,0.83594,0.52364,1.33456,1.05609,1.7768,0.000145125,0.000145125,0.000145125
84,8886.39,1.17357,1.05743,1.72456,0.7988,0.74335,0.83414,0.52268,1.33971,1.0469,1.77699,0.000131581,0.000131581,0.000131581
85,8991.89,1.17966,1.05357,1.72416,0.83466,0.71686,0.83667,0.52174,1.3419,1.04403,1.78217,0.000118737,0.000118737,0.000118737
86,9097.3,1.16604,1.03948,1.71385,0.8183,0.74295,0.84045,0.52858,1.33693,1.02835,1.7775,0.000106608,0.000106608,0.000106608
87,9206.47,1.16462,1.03347,1.71464,0.78245,0.7715,0.8405,0.52807,1.34063,1.02755,1.77882,9.52034e-05,9.52034e-05,9.52034e-05
88,9315.85,1.15071,1.02783,1.70207,0.82194,0.75113,0.8466,0.53784,1.31547,1.01312,1.7578,8.4536e-05,8.4536e-05,8.4536e-05
89,9423.76,1.15852,1.03364,1.71194,0.83673,0.7511,0.85189,0.54561,1.31377,1.00979,1.75927,7.4616e-05,7.4616e-05,7.4616e-05
90,9528.95,1.15755,1.02473,1.70743,0.82308,0.759,0.84863,0.53869,1.32103,1.02315,1.76027,6.54531e-05,6.54531e-05,6.54531e-05
91,9667.35,1.17226,1.03013,1.71718,0.83888,0.73362,0.84816,0.53855,1.32511,1.0185,1.76282,5.70564e-05,5.70564e-05,5.70564e-05
92,9772.06,1.14195,0.98759,1.69818,0.82709,0.74351,0.84758,0.53938,1.3101,1.00145,1.75059,4.94343e-05,4.94343e-05,4.94343e-05
93,9878.77,1.15068,1.01019,1.70225,0.81219,0.76837,0.85092,0.5428,1.30568,1.00106,1.7471,4.25941e-05,4.25941e-05,4.25941e-05
94,9986.08,1.14674,1.01692,1.69878,0.81258,0.76028,0.8483,0.54097,1.3144,1.00897,1.75372,3.65426e-05,3.65426e-05,3.65426e-05
95,10092.1,1.15379,1.00285,1.7032,0.8124,0.77047,0.84859,0.53876,1.31449,1.00057,1.75379,3.12859e-05,3.12859e-05,3.12859e-05
